,Occupation_Code,Occupation_Title,Total_Employees,Mean_Annual_Wage,Annual_10th_Percentile_Wage,Annual_25th_Percentile_Wage,Annual_Median_Wage,Annual_75th_Percentile_Wage,Annual_90th_Percentile_Wage
1263,51-9031,"Cutters and Trimmers, Hand","14,250","29,580","20,060","22,320","27,600","34,850","42,450"
1264,51-9032,"Cutting and Slicing Machine Setters, Operators, and Tenders","61,330","34,000","21,640","26,340","32,870","40,410","48,840"
1265,51-9040,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders","71,260","34,370","21,580","25,980","32,510","41,360","50,330"
1266,51-9041,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders","71,260","34,370","21,580","25,980","32,510","41,360","50,330"
1267,51-9050,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders","19,520","37,600","22,790","28,310","36,040","45,510","56,040"
1268,51-9051,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders","19,520","37,600","22,790","28,310","36,040","45,510","56,040"
1269,51-9060,"Inspectors, Testers, Sorters, Samplers, and Weighers","518,950","40,340","21,880","27,760","36,780","49,250","63,590"
1270,51-9061,"Inspectors, Testers, Sorters, Samplers, and Weighers","518,950","40,340","21,880","27,760","36,780","49,250","63,590"
1271,51-9070,Jewelers and Precious Stone and Metal Workers,"26,480","42,310","22,060","27,900","38,200","50,410","66,110"
1272,51-9071,Jewelers and Precious Stone and Metal Workers,"26,480","42,310","22,060","27,900","38,200","50,410","66,110"
1273,51-9080,"Medical, Dental, and Ophthalmic Laboratory Technicians","80,240","38,270","21,860","27,020","34,630","45,980","59,770"
1274,51-9081,Dental Laboratory Technicians,"37,110","40,760","22,540","28,760","37,680","49,460","61,970"
1275,51-9082,Medical Appliance Technicians,"14,570","39,880","23,070","28,310","35,980","46,910","62,720"
1276,51-9083,Ophthalmic Laboratory Technicians,"28,570","34,220","20,990","25,130","30,640","38,850","51,830"
1277,51-9110,Packaging and Filling Machine Operators and Tenders,"386,520","30,910","19,720","22,540","28,290","36,970","47,620"
1278,51-9111,Packaging and Filling Machine Operators and Tenders,"386,520","30,910","19,720","22,540","28,290","36,970","47,620"
1279,51-9120,Painting Workers,"156,070","38,370","22,780","27,740","35,300","45,590","58,580"
1280,51-9121,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders","85,760","34,460","22,280","26,590","32,790","40,260","49,440"
1281,51-9122,"Painters, Transportation Equipment","54,860","46,270","26,300","33,000","42,150","55,700","70,580"
1282,51-9123,"Painting, Coating, and Decorating Workers","15,450","32,040","20,010","23,600","30,030","37,930","47,560"
1283,51-9140,Semiconductor Processors,"24,430","37,890","25,840","29,580","35,660","43,840","53,540"
1284,51-9141,Semiconductor Processors,"24,430","37,890","25,840","29,580","35,660","43,840","53,540"
1285,51-9150,Photographic Process Workers and Processing Machine Operators,"26,430","31,740","19,790","22,100","26,470","35,970","48,030"
1286,51-9151,Photographic Process Workers and Processing Machine Operators,"26,430","31,740","19,790","22,100","26,470","35,970","48,030"
1287,51-9190,Miscellaneous Production Workers,"888,880","30,680","19,200","21,930","27,620","36,770","48,040"
1288,51-9191,Adhesive Bonding Machine Operators and Tenders,"16,940","34,610","21,280","25,510","32,290","40,910","50,910"
1289,51-9192,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders","17,860","30,590","20,710","23,110","28,550","36,320","45,190"
1290,51-9193,Cooling and Freezing Equipment Operators and Tenders,"8,170","32,100","20,170","23,730","29,190","38,330","50,210"
1291,51-9194,Etchers and Engravers,"9,520","34,390","20,820","24,900","31,110","40,020","51,270"
1292,51-9195,"Molders, Shapers, and Casters, Except Metal and Plastic","39,450","32,590","20,810","24,480","30,610","38,300","47,720"
1293,51-9196,"Paper Goods Machine Setters, Operators, and Tenders","93,100","38,570","22,200","28,240","36,990","47,520","58,720"
1294,51-9197,Tire Builders,"22,280","42,230","25,460","30,690","41,680","54,340","60,690"
1295,51-9198,Helpers--Production Workers,"429,890","26,930","18,510","20,820","24,830","31,120","38,750"
1296,51-9199,"Production Workers, All Other","251,670","32,380","19,450","22,150","28,770","38,930","51,470"
1297,53-0000,Transportation and Material Moving Occupations,"9,731,790","36,070","19,150","22,680","30,730","43,170","59,270"
1298,53-1000,Supervisors of Transportation and Material Moving Workers,"393,850","55,160","31,290","39,140","52,250","67,000","82,810"
1299,53-1010,Aircraft Cargo Handling Supervisors,"7,460","51,900","30,140","36,020","47,360","63,020","81,620"
1300,53-1011,Aircraft Cargo Handling Supervisors,"7,460","51,900","30,140","36,020","47,360","63,020","81,620"
1301,53-1020,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand","183,620","50,160","29,140","36,050","47,230","61,230","77,060"
1302,53-1021,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand","183,620","50,160","29,140","36,050","47,230","61,230","77,060"
1303,53-1030,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators,"202,760","59,800","33,760","43,640","57,270","72,880","89,670"
1304,53-1031,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators,"202,760","59,800","33,760","43,640","57,270","72,880","89,670"
1305,53-2000,Air Transportation Workers,"265,890","93,560","32,880","47,020","71,510","118,770","177,670"
1306,53-2010,Aircraft Pilots and Flight Engineers,"120,500","131,250","51,130","73,660","105,720","162,310",#
1307,53-2011,"Airline Pilots, Copilots, and Flight Engineers","81,520","152,770","65,000","87,930","127,820","195,550",#
1308,53-2012,Commercial Pilots,"38,980","86,260","39,430","55,900","77,200","105,620","147,240"
1309,53-2020,Air Traffic Controllers and Airfield Operations Specialists,"32,000","100,190","36,910","61,460","96,870","139,540","166,730"
1310,53-2021,Air Traffic Controllers,"23,240","118,200","66,390","84,730","122,410","149,230","172,680"
1311,53-2022,Airfield Operations Specialists,"8,760","52,380","23,690","34,240","48,910","63,640","90,350"
1312,53-2030,Flight Attendants,"113,390","51,620","26,570","39,860","48,500","62,490","78,650"
1313,53-2031,Flight Attendants,"113,390","51,620","26,570","39,860","48,500","62,490","78,650"
1314,53-3000,Motor Vehicle Operators,"3,934,070","37,280","19,430","25,300","34,980","46,550","59,610"
1315,53-3010,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians","17,300","25,600","18,360","20,720","23,850","28,910","35,960"
1316,53-3011,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians","17,300","25,600","18,360","20,720","23,850","28,910","35,960"
1317,53-3020,Bus Drivers,"684,690","33,760","19,020","24,570","31,920","40,720","50,870"
1318,53-3021,"Bus Drivers, Transit and Intercity","169,680","41,780","23,840","29,890","39,790","51,720","64,290"
1319,53-3022,"Bus Drivers, School or Special Client","515,020","31,110","18,470","22,910","30,150","37,940","46,390"
1320,53-3030,Driver/Sales Workers and Truck Drivers,"2,989,540","38,900","19,770","26,680","36,670","48,490","61,600"
1321,53-3031,Driver/Sales Workers,"426,310","28,440","17,500","18,930","22,830","35,330","48,400"
1322,53-3032,Heavy and Tractor-Trailer Truck Drivers,"1,704,520","43,590","26,920","33,470","41,340","51,760","63,140"
1323,53-3033,Light Truck or Delivery Services Drivers,"858,710","34,790","19,200","22,890","30,580","41,370","60,630"
1324,53-3040,Taxi Drivers and Chauffeurs,"188,860","26,790","18,250","20,490","24,300","30,450","38,500"
1325,53-3041,Taxi Drivers and Chauffeurs,"188,860","26,790","18,250","20,490","24,300","30,450","38,500"
1326,53-3090,Miscellaneous Motor Vehicle Operators,"53,680","32,930","18,100","20,120","27,150","44,210","53,880"
1327,53-3099,"Motor Vehicle Operators, All Other","53,680","32,930","18,100","20,120","27,150","44,210","53,880"
1328,53-4000,Rail Transportation Workers,"125,200","58,950","39,060","47,290","57,740","69,000","81,170"
1329,53-4010,Locomotive Engineers and Operators,"45,640","60,230","40,420","47,660","57,130","67,800","86,780"
1330,53-4011,Locomotive Engineers,"39,900","61,020","41,720","48,640","57,670","68,200","85,290"
1331,53-4012,Locomotive Firers,"1,210","63,750","43,090","49,010","58,230","85,220","97,820"
1332,53-4013,"Rail Yard Engineers, Dinkey Operators, and Hostlers","4,530","52,320","25,780","37,380","50,470","61,910","87,770"
1333,53-4020,"Railroad Brake, Signal, and Switch Operators","19,860","55,320","35,150","45,050","56,570","65,440","76,110"
1334,53-4021,"Railroad Brake, Signal, and Switch Operators","19,860","55,320","35,150","45,050","56,570","65,440","76,110"
1335,53-4030,Railroad Conductors and Yardmasters,"42,880","58,220","39,180","47,190","57,480","67,950","79,620"
